RA,DEC,J,H,Av,R,Weight
274.7334011,-13.78654941,16.18156569,15.186914,2.2222222,20.092677,1
274.7443796,-13.82839089,16.09773892,15.097728,2.2222222,20.00885,1
274.6274483,-13.83250129,15.87775352,14.85737,2.3423423,19.892168,1
274.6747419,-13.82516688,17.33716155,16.487326,2.3423423,21.351576,1
274.6826524,-13.81755684,16.85416924,15.923923,2.3423423,20.868584,1
274.6958606,-13.83466101,15.95105487,14.930713,2.3423423,19.965469,1
274.7110144,-13.80733169,16.37868991,15.396706,2.3423423,20.393104,1
274.7138501,-13.75847438,16.52150714,15.580858,2.3423423,20.535922,1
274.7247228,-13.80850402,16.66134296,15.720155,2.3423423,20.675757,1
274.7452505,-13.73525261,15.80084595,14.774741,2.3423423,19.81526,1
274.7478961,-13.76824462,16.98303233,16.086875,2.3423423,20.997447,1
274.65153,-13.82251448,17.15351324,16.239717,2.4624625,21.271231,1
274.6744279,-13.79687967,15.35784075,14.415694,2.4624625,19.475558,1
274.6753569,-13.7802866,15.92746569,14.891562,2.4624625,20.045183,1
274.6788013,-13.76067381,16.38153065,15.382842,2.4624625,20.499248,1
274.7163046,-13.82241019,16.53546373,15.533555,2.4624625,20.653181,1
274.7301686,-13.79883716,16.69083057,15.73333,2.4624625,20.808548,1
274.7400622,-13.80851384,15.91602168,14.878109,2.4624625,20.033739,1
274.7457794,-13.80615398,16.0295068,14.994199,2.4624625,20.147225,1
274.7535658,-13.81425337,16.1555513,15.123976,2.4624625,20.273269,1
274.7536036,-13.7495982,15.83630852,14.790676,2.4624625,19.954026,1
274.6390678,-13.80607702,16.45215574,15.453517,2.5825826,20.673177,1
274.6456416,-13.81674343,15.94661207,14.886925,2.5825826,20.167633,1
274.6582038,-13.85641623,16.33732549,15.322781,2.5825826,20.558347,1
274.6585784,-13.79121887,16.18001363,15.148379,2.5825826,20.401035,1
274.6619112,-13.79748525,15.57400714,14.587937,2.5825826,19.795028,1
274.6652024,-13.80304144,15.87259302,14.829623,2.5825826,20.093614,1
274.6923283,-13.77520241,15.48655402,14.512902,2.5825826,19.707575,1
274.7137489,-13.79873982,16.47530453,15.464207,2.5825826,20.696326,1
274.7316238,-13.73771463,16.3975765,15.380007,2.5825826,20.618598,1
274.7373949,-13.80102123,15.67902483,14.670147,2.5825826,19.900046,1
274.749928,-13.73739144,16.34455855,15.323442,2.5825826,20.56558,1
274.6387465,-13.84070169,16.17331819,15.13328,2.7027027,20.497643,1
274.7150923,-13.85766785,16.10565021,15.048418,2.7027027,20.429975,1
274.7174597,-13.76815318,16.42240058,15.38517,2.7027027,20.746725,1
274.7192377,-13.76828142,16.64352115,15.643299,2.7027027,20.967846,1
274.7294624,-13.76000778,16.82481474,15.845635,2.7027027,21.149139,1
274.7390987,-13.79367449,16.1133622,15.046131,2.7027027,20.437687,1
274.7434594,-13.79832015,15.92620199,14.863117,2.7027027,20.250526,1
274.7489093,-13.81321794,16.36514181,15.339143,2.7027027,20.689466,1
274.6224173,-13.76665508,16.38415424,15.339415,2.8228228,20.811782,1
274.6480897,-13.83440692,16.46584646,15.417691,2.8228228,20.893474,1
274.6644485,-13.75880903,15.96147655,14.88107,2.8228228,20.389104,1
274.6682135,-13.75922826,15.95303277,14.873489,2.8228228,20.38066,1
274.6682001,-13.7635998,16.14593503,15.063394,2.8228228,20.573563,1
