objid,ra,dec,i,r,g,ra_px,dec_px
1237667253465252836,150.169898631083,24.7158657560519,22.34038,22.87412,23.43344,228.04643685533006,1039.4627723433211
1237667253465252844,150.172104825958,24.7931433003804,22.54377,23.45942,24.74495,895.8552753784807,1257.464328662064
1237667253465252847,150.193627656595,24.7372205544878,22.34696,23.55343,25.05501,358.0894794818263,1282.6220594964318
1237667253465252748,150.157553964642,24.8628528670933,22.56999,22.16254,23.35597,1537.2367618482515,1323.3666804001903
1237667253465252776,150.061338578019,24.6948697888301,22.35395,23.68696,23.89939,301.5993837825331,125.9045387454347
1237667253465252779,150.057185697082,24.7227762409687,22.48226,23.45819,24.23483,554.3986879139358,165.67052782734493
1237667253465252294,150.084212269189,24.7174179302587,22.82396,23.23726,23.23114,443.8525148882469,365.5354629260993
1237667253465252802,150.105200669235,24.7174297162452,21.86792,22.90859,24.01664,394.3665810062223,531.6158440113293
1237667253465252807,150.114332510259,24.7145710958872,21.9473,23.34112,25.05278,347.9063812924421,596.4357911434048
1237667253465252371,150.119101042133,24.7218562224044,22.29869,22.30005,22.79019,400.0847450976256,653.095073044172
1237667253465252821,150.134076911267,24.7288041092474,22.43833,23.20296,23.89358,425.2348920269818,789.6280829045121
1237667253465252834,150.132411422205,24.82044334676,22.16034,24.44723,25.29115,1227.1840899261485,1014.4977277627396
1237667253465252835,150.156336244825,24.7560394199709,21.51271,23.40546,24.44295,609.8979525271546,1036.4422223293448
1237667253465252575,150.190485155411,24.766302991268,23.54854,23.54613,23.38024,618.7850660611214,1333.1970227878626
1237667253465252620,150.02616259551,24.7844236223033,21.71422,22.57982,24.13908,1164.50500266202,80.82548477870864
1237667253465252622,150.021472437569,24.8040280369857,22.47774,22.82124,23.73705,1346.2785693025767,94.80893835711368
1237667253465252783,150.044099185607,24.7910790735533,22.22446,23.64439,24.38827,1180.0340447357976,239.96188600741652
1237667253465252316,150.072536276128,24.7853744464469,22.80343,22.78501,23.091,1063.1557645710523,449.9503150100289
1237667253465252798,150.071840871106,24.7936025018876,22.32108,23.0603,23.97569,1136.4413260281583,465.85721471937336
1237667253465252803,150.093817542121,24.7541482180369,22.32107,23.14817,24.41774,740.9854193747727,537.029252175107
1237667253465252820,150.125675950111,24.7539608941337,21.91109,22.82909,24.3931,664.1333569180913,788.5240574127106
1237667253465252714,150.128695775706,24.815602968045,22.24153,22.63882,23.49151,1193.7970023734124,972.5487623632547
1237667253465252188,150.195859413519,24.7274702841265,23.78337,23.90804,24.89754,267.910531961684,1274.9913364694253
1237667253465252755,150.159170489227,24.886295739846,22.87645,22.40922,23.60104,1737.586869849711,1396.998982830226
1237667253465252657,150.070533128174,24.7754993737187,21.626,22.40314,23.66549,981.9055769310077,408.42102213445844
1237667253465252480,150.11279877883,24.8806656748542,23.08683,23.40385,23.24658,1797.861751696642,1015.9631799775779
1237667253465252638,150.030456995398,24.8224547886086,22.57221,22.76705,25.06156,1485.4593345830547,213.81600141754313
1237667253465252921,150.147305269165,24.7367884370179,22.96647,24.73922,24.73011,463.5506132873902,915.018025460257
1237667253465252131,150.052790835954,24.7962845037763,23.77779,24.19184,25.53212,1204.8098240365425,322.2264487015166
1237667253465252793,150.0685640522,24.7640205170489,22.23975,23.53486,24.4991,886.611624366236,362.986128163388
1237667253465252869,150.082816839799,24.8250905535698,24.60181,25.37359,25.77136,1384.6900104134227,634.5312713652775
1237667253465252870,150.086785586322,24.8261325934627,23.77405,23.86535,24.9682,1384.392484931864,668.6119739417197
1237667253465252158,150.131209118914,24.734815133464,24.75184,25.50838,25.44757,484.3490842920006,782.5547154166775
1237667253465252177,150.173674938854,24.7463225421647,25.37716,25.4961,24.57522,484.39079516421214,1148.3803074474254
1237667253465252851,150.190153739272,24.799754507191,22.14496,24.08458,24.75537,910.9072978437802,1417.3475304397243
1237667253465252842,150.18030791402,24.7464820293491,20.97924,22.99739,24.59748,470.1434595270712,1201.2681449115366
1237667253465252893,150.155396599007,24.8789193647827,24.51429,25.32057,24.87752,1682.2387265227824,1348.0279374099377
1237667253465252019,150.105257468769,24.8045402635544,21.77081,22.75055,25.04945,1152.7687529381833,758.4981568050612
1237667253465252532,150.168295327945,24.7604472113268,24.10305,22.59762,23.33463,620.0853455916497,1142.4808743646768
1237667253465251984,150.071049693119,24.8123183502978,22.39884,23.60487,23.83125,1301.2711230865038,508.29226120847056
1237667253465252462,150.124664754084,24.8200974047176,22.96469,22.78156,23.42061,1242.4440285341961,952.3574948238345
1237667253465251892,150.144615178351,24.7098938414865,23.32479,24.41481,24.94293,235.6858039964394,823.8945775507597
1237667253465252469,150.153716069669,24.7453964283126,22.19198,22.79097,25.06244,523.3912139301316,988.0841653492351
1237667253465252283,150.053987187729,24.7811594921912,22.19845,23.34216,24.87297,1070.292226560417,292.3195342603234
1237667253465252380,150.106001572538,24.7696617192776,22.87404,22.75063,23.87747,847.2985916767591,673.7204370483565
1237667253465251921,150.196709041105,24.7806802627502,22.73308,24.11278,24.08728,729.3401165678582,1419.7167258527948
1237667253465252369,150.105861811598,24.7580298497608,22.86955,22.77964,23.52271,746.341120230225,642.3800272607488
1237667253465252018,150.103335208112,24.8031780469384,21.63446,22.38918,23.59521,1145.4443826167008,739.7594713047064
1237667253465251911,150.147743781666,24.8475747139019,22.52188,22.35168,23.56712,1427.3041516122246,1206.1621846232945
1237667253465252655,150.053619606972,24.8170182341657,22.04259,22.56906,23.92527,1383.3745942259955,382.7414823557898
1237667253465252417,150.099583611723,24.8465791381803,22.7779,23.36403,23.43666,1532.2214522950724,822.9301658701017
1237667253465252845,150.169027179723,24.8064692128931,22.37201,23.07549,24.02224,1019.1635880964207,1267.7112018292855
1237667253465252697,150.0910766479,24.877322702363,21.87143,22.50839,24.0582,1819.9984648207671,835.6391817053924
1237667253465252846,150.200910537085,24.7144183054629,22.05363,23.51259,23.72885,142.3303457457954,1281.1116984741307
1237667253465252625,150.044170370429,24.7441187248182,24.68166,22.79935,25.54429,771.0015806179472,118.27427041772944
1237667253465252864,150.036357492888,24.8126380269496,24.30468,26.03427,24.59492,1386.0402518060473,234.89153022489518
1237667253465252133,150.082964433308,24.7215828144746,24.68071,25.21349,26.17048,483.06655415928844,366.4954706151293
1237667253465252301,150.052498073536,24.8200214746795,25.60895,24.40235,23.16954,1412.1734218225681,381.69303887263175
1237667253465252138,150.105859357016,24.7031844912292,25.17699,25.72252,24.34769,268.7666130629616,499.7989915282523
1237667253465252148,150.110988936779,24.7291930092778,25.19195,24.58981,25.79723,483.1284381741656,607.9839908234519
1237667253465252150,150.126145194909,24.7087030492259,25.05691,25.00319,25.22667,268.91387758247413,674.6537343393264
1237667253465252159,150.109466760564,24.8097209253642,24.57235,24.52267,25.89942,1187.9459330939017,805.2425990121955
1237667253465252161,150.135744363436,24.7361937275963,24.72531,25.14763,25.2375,485.6507245546627,822.0141169636934
1237667253465252872,150.112431584305,24.8331142791706,24.59316,25.69743,24.52516,1384.655532041109,889.479570982323
