,RA,DEC,J,H,Av,R,Weight,in_field
1822,274.696426,-13.7637924,19.42508609,17.667963,10.870871,30.774035,1,IN
1823,274.6507617,-13.7636354,19.09443765,17.231347,10.870871,30.443387,1,IN
1824,274.672234,-13.76245682,13.73382016,12.6776,10.870871,25.082769,1,IN
1825,274.6952615,-13.75999211,19.98691654,18.252325,10.870871,31.335866,1,IN
1826,274.6778624,-13.759216,19.14593754,17.327059,10.870871,30.494887,1,IN
1827,274.6908434,-13.7590382,19.31462988,17.525468,10.870871,30.663579,1,IN
1828,274.6962914,-13.75730808,19.15210448,17.338849,10.870871,30.501054,1,IN
1829,274.6700671,-13.75175831,18.84248246,16.987744,10.870871,30.191432,1,IN
1830,274.6497387,-13.79752689,18.92055809,17.049193,10.870871,30.269507,1,IN
1831,274.6730642,-13.79688922,19.1652151,17.366178,10.870871,30.514164,1,IN
1832,274.6655513,-13.79669454,14.98041573,13.886499,10.870871,26.329365,1,IN
1833,274.6822497,-13.79584634,18.57461793,16.670758,10.870871,29.923567,1,IN
1834,274.6635685,-13.79130159,19.5398273,17.790245,10.870871,30.888776,1,IN
1835,274.6745178,-13.78928916,14.76156334,13.685743,10.870871,26.110512,1,IN
1836,274.6493358,-13.78758378,19.83468593,18.073317,10.870871,31.183635,1,IN
1837,274.6653883,-13.78753376,19.56969249,17.799609,10.870871,30.918642,1,IN
1838,274.6638832,-13.78728829,14.6564838,13.573147,10.870871,26.005433,1,IN
1840,274.6772206,-13.78569856,19.90481451,18.163079,10.870871,31.253764,1,IN
1778,274.6924269,-13.78481001,19.46686287,17.705895,10.630631,30.609205,1,IN
1777,274.6530543,-13.78510147,19.20042731,17.424924,10.630631,30.34277,1,IN
1776,274.6706722,-13.78715956,14.92518285,13.851745,10.630631,26.067525,1,IN
1716,274.7003718,-13.78853666,18.37403207,16.51093,10.39039,29.309768,1,IN
1717,274.6935711,-13.78681276,19.70313995,17.993847,10.39039,30.638876,1,IN
1718,274.6966146,-13.78676575,18.96234041,17.193896,10.39039,29.898076,1,IN
1719,274.6894051,-13.78616501,14.41464669,13.402047,10.39039,25.350383,1,IN
1720,274.6555413,-13.78532836,19.14567938,17.395822,10.39039,30.081415,1,IN
1721,274.650653,-13.78447152,18.42583249,16.563642,10.39039,29.361568,1,IN
1722,274.6613195,-13.78394046,14.46832911,13.409258,10.39039,25.404065,1,IN
1723,274.6840085,-13.77841436,14.87838877,13.806247,10.510511,25.917428,1,IN
1724,274.6513037,-13.77822049,19.18698549,17.430015,10.510511,30.226025,1,IN
1725,274.6678329,-13.77478477,18.88117159,17.074607,10.510511,29.920211,1,IN
1726,274.6616231,-13.77452594,18.85063972,17.029747,10.510511,29.889679,1,IN
1727,274.6648106,-13.77451571,14.8131644,13.738483,10.510511,25.852204,1,IN
1728,274.6557635,-13.77435371,18.8611343,17.052915,10.510511,29.900173,1,IN
1729,274.6651506,-13.77383889,19.63605196,17.922005,10.510511,30.675091,1,IN
1730,274.6762074,-13.770963,14.54988225,13.504097,10.510511,25.588921,1,IN
1731,274.6601293,-13.77046565,17.9351158,16.105678,10.510511,28.974155,1,IN
1732,274.6858937,-13.76769752,18.99395589,17.198262,10.510511,30.032995,1,IN
1715,274.6660179,-13.7901897,19.51607444,17.824629,10.39039,30.45181,1,IN
1733,274.6804697,-13.76746881,18.85489576,17.068775,10.510511,29.893935,1,IN
1714,274.6823319,-13.79464998,14.53378604,13.464438,10.39039,25.469522,1,IN
1712,274.6900604,-13.75050061,18.12227101,16.250606,10.39039,29.058007,1,IN
1695,274.6527759,-13.77663787,19.52817321,17.8395,10.39039,30.463909,1,IN
1696,274.6531967,-13.77627786,19.30399174,17.575058,10.39039,30.239728,1,IN
1697,274.668595,-13.77619597,19.1199209,17.34608,10.39039,30.055657,1,IN
1698,274.6746301,-13.77297823,20.05402957,18.386442,10.39039,30.989765,1,IN
1699,274.6900195,-13.76911281,18.63516347,16.813052,10.39039,29.570899,1,IN
1700,274.6850514,-13.76863776,19.41771719,17.701356,10.39039,30.353453,1,IN
1701,274.6570845,-13.76755313,14.47010902,13.390439,10.39039,25.405845,1,IN
1702,274.6711002,-13.76734975,18.43397257,16.572786,10.39039,29.369708,1,IN
1703,274.6722058,-13.76595557,19.41194033,17.672631,10.39039,30.347676,1,IN
1704,274.6752416,-13.76198359,19.40124757,17.694824,10.39039,30.336983,1,IN
1705,274.6604344,-13.76181876,18.55675049,16.714367,10.39039,29.492486,1,IN
1706,274.674254,-13.76102568,18.16564861,16.304738,10.39039,29.101384,1,IN
1707,274.6950242,-13.76073134,20.02150033,18.345944,10.39039,30.957236,1,IN
