source_id,ra_Gaia,dec_Gaia,g,bp_rp,phot_variable_flag,Star_Id,RA_HST,Dec_HST,RA_toGaia,Dec_toGaia,F125W,eF125W,F139M,eF139M,F160W,eF160W,J,eJ,H,eH,Ks,eKs,inMUSE,membership,Weight
5.94E+18,251.7625413,-45.847541,16.291561,5.6016254,NOT_AVAILABLE,6018,251.7625808,-45.8475579,251.7625602,-45.8475612,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.326999,0.041999,10.185,0.014,9.5139999,0.116999,1,1,1
5.94E+18,251.7804359,-45.84006283,16.31101,4.297879,NOT_AVAILABLE,1696,251.780437,-45.8400722,251.7804276,-45.8400702,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,12.09,0.014,11.086999,0.008999,10.645999,0.014,1,1,1
5.94E+18,251.7536626,-45.85571579,16.311314,5.6144238,NOT_AVAILABLE,5599,251.7536946,-45.8557174,251.7536647,-45.8557244,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.984999,0.012,9.6070003,0.007,8.7659997,0.014999,1,1,1
5.94E+18,251.7624221,-45.85716406,16.332308,5.4625053,NOT_AVAILABLE,1069,251.7624509,-45.8571665,251.7624223,-45.8571722,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.369,0.009999,10.159,0.008,9.6210002,0.010999,1,1,1
5.94E+18,251.77725,-45.84420178,16.343323,5.095273,NOT_AVAILABLE,5131,251.7772631,-45.8442191,251.7772494,-45.8442188,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.286,0.023,10.031999,0.023,9.243,0.046,1,1,1
5.94E+18,251.7712638,-45.85285509,16.351313,6.399494,NOT_AVAILABLE,3344,251.771285,-45.852858,251.7712624,-45.852861,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.888999,0.012,9.5640001,0.020999,8.7530002,0.023,1,1,1
5.94E+18,251.7720721,-45.85983771,16.368557,5.3386173,NOT_AVAILABLE,3152,251.7720995,-45.8598386,251.7720714,-45.8598432,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,10.873999,0.012,9.5509996,0.019999,8.7700004,0.026,1,1,1
5.94E+18,251.7680936,-45.8604256,16.389093,4.154705,NOT_AVAILABLE,5581,251.7681202,-45.8604173,251.7680905,-45.8604228,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.954999,0.009999,10.508,0.006,9.9160003,0.017,1,1,1
5.94E+18,251.7563424,-45.84884271,16.470919,5.092305,NOT_AVAILABLE,1397,251.7563655,-45.8488493,251.7563421,-45.8488541,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.751999,0.012,10.597,0.009999,10.06,0.010999,1,1,1
5.94E+18,251.7576003,-45.84898825,16.477827,4.801379,NOT_AVAILABLE,5070,251.7576239,-45.8489968,251.7576007,-45.8490014,99.9999,9.9999,99.9999,9.9999,99.9999,9.9999,11.97,0.012,10.899,0.008999,10.409,0.013,1,1,1
